time,seconds_elapsed,steps
1759926996215834000,1282.4558342285156,145
1759926998777161000,1285.017160888672,151
1759927001338483500,1287.5784833984376,156
1759927003899792600,1290.1397927246094,161
1759927006461091800,1292.701091796875,167
1759927009022378000,1295.2623779296875,172
1759927011583650600,1297.8236506347657,178
1759927014144910800,1300.3849108886718,183
1759927016706161400,1302.9461613769531,189
1759927019267402800,1305.5074028320312,194
1759927021828628500,1308.0686284179687,200
1759927024389839600,1310.6298395996093,205
1759927026951047000,1313.191046875,211
1759927029512248300,1315.7522482910156,216
1759927032073438700,1318.313438720703,222
1759927034634616800,1320.8746169433593,227
1759927037195789000,1323.4357890625,233
1759927039756956200,1325.9969560546874,238
1759927042318115000,1328.5581149902343,243
1759927044879266300,1331.1192663574218,249
1759927047440412400,1333.6804123535155,254
1759927050001552100,1336.2415522460938,260
1759927052562685400,1338.802685546875,265
1759927055123813000,1341.3638132324218,271
1759927057684936000,1343.9249360351562,276
1759927060246053400,1346.4860534667969,282
1759927062807167500,1349.0471674804687,287
1759927065368276000,1351.6082758789062,293
1759927067929386200,1354.1693862304687,298
1759927070490485800,1356.7304858398438,304
1759927073051583700,1359.2915837402343,309
1759927075612679000,1361.852678955078,314
1759927078173773300,1364.4137731933595,319
1759927080734861800,1366.9748618164062,324
1759927083295953200,1369.535953125,329
1759927085857032000,1372.0970319824219,335
1759927088418111200,1374.658111328125,340
1759927090979189200,1377.2191892089843,345
1759927093540262700,1379.7802626953126,350
1759927096101335600,1382.3413354492188,355
1759927098662408200,1384.902408203125,360
1759927101223478300,1387.4634782714843,365
1759927103784546300,1390.0245463867188,371
1759927106345612000,1392.585612060547,376
1759927108906676200,1395.1466762695313,381
1759927111467737300,1397.7077373046875,386
1759927114028793600,1400.268793701172,392
1759927116589855200,1402.8298552246094,397
1759927119150904000,1405.3909040527344,402
1759927121711956000,1407.9519560546876,407
1759927124273003500,1410.5130034179688,413
1759927126834041000,1413.074041015625,418
1759927129395076400,1415.6350764160156,423
1759927131956115700,1418.1961157226563,428
1759927134517145900,1420.7571457519532,433
1759927137078180400,1423.3181804199219,438
1759927139639215600,1425.8792155761719,444
1759927142200256500,1428.440256591797,449
1759927144761311700,1431.001311767578,454
1759927147322380500,1433.5623806152344,459
1759927149883459600,1436.1234594726564,465
1759927152444541400,1438.6845415039063,470
1759927155005625000,1441.245625,475
1759927157566711800,1443.8067119140626,480
1759927160127804700,1446.3678046875,486
1759927162688887600,1448.928887451172,491
1759927165249972700,1451.48997265625,496
1759927167811055600,1454.0510556640625,501
1759927170372136200,1456.6121362304686,506
1759927172933215700,1459.1732158203124,511
1759927175494297300,1461.7342973632813,516
1759927178055369500,1464.2953693847655,522
1759927180616442000,1466.8564421386718,527
1759927183177513500,1469.4175134277343,532
1759927185738582500,1471.9785825195313,537
1759927188299648800,1474.5396486816405,542
1759927190860713500,1477.1007133789062,547
1759927193421777000,1479.6617768554688,547
1759927195982838300,1482.2228383789063,552
1759927198543903000,1484.7839030761718,557
1759927201104977700,1487.3449777832031,562
1759927203666052900,1489.9060529785156,567
1759927206227134500,1492.4671345214845,571
1759927208788222200,1495.0282221679688,576
1759927211349317000,1497.589317138672,580
1759927213910414000,1500.1504140625,583
1759927216471516700,1502.7115166015626,588
1759927219032620500,1505.2726206054688,593
1759927221593731800,1507.8337319335938,598
1759927224154848000,1510.3948479003907,602
1759927226715978500,1512.955978515625,607
1759927229277101600,1515.5171015625,612
1759927231838229500,1518.0782294921876,616
1759927234399362000,1520.6393620605468,621
1759927236960492500,1523.2004924316407,625
1759927239521626000,1525.7616262207032,630
1759927242082755300,1528.3227553710938,635
1759927244643890700,1530.883890625,639
1759927247205028900,1533.4450288085939,644
1759927249766170000,1536.0061701660156,649
1759927252327311600,1538.5673115234374,653
1759927254888455400,1541.1284553222656,658
1759927257449599000,1543.6895988769531,663
1759927260010745600,1546.2507456054686,668
1759927262571895000,1548.8118950195312,672
1759927265133049600,1551.3730495605469,674
1759927267694201000,1553.934201171875,674
1759927270255367200,1556.4953671875,674
1759927272816546000,1559.056546142578,674
1759927275377727500,1561.6177275390626,674
1759927277938929700,1564.1789296875,674
1759927285622568700,1571.8625686035157,674
1759927288183791600,1574.4237915039062,674
1759927290745015000,1576.9850151367189,679
1759927293306240000,1579.5462399902344,685
1759927295867467800,1582.1074677734375,689
1759927298428693800,1584.6686938476562,693
1759927300989921000,1587.2299211425782,693
1759927303551151600,1589.7911516113281,693
1759927306112386800,1592.35238671875,693
1759927308673612500,1594.913612548828,693
1759927311234838000,1597.4748381347656,693
1759927334285527000,1620.5255270996095,693
1759927336846712600,1623.0867126464843,705
1759927339407898400,1625.6478984375,710
1759927341969087200,1628.2090871582031,716
1759927344530272000,1630.7702719726562,721
1759927347091455500,1633.3314555664062,726
1759927349652631800,1635.8926318359374,732
1759927352213803300,1638.4538032226562,737
1759927354774966300,1641.0149663085938,743
1759927357336125000,1643.576125,748
1759927359897268700,1646.137268798828,753
1759927362458410200,1648.69841015625,759
1759927365019544000,1651.2595439453125,764
1759927367580676400,1653.8206762695313,769
1759927370141794600,1656.3817946777344,775
1759927372702909000,1658.942908935547,780
1759927375264018200,1661.5040180664062,785
1759927377825122600,1664.0651225585937,790
1759927380386229200,1666.626229248047,796
1759927382947321300,1669.1873212890625,801
1759927385508412000,1671.7484118652344,806
1759927388069501200,1674.3095012207032,812
1759927390630582800,1676.8705827636718,817
1759927393191663400,1679.4316633300782,822
1759927395752739800,1681.9927397460938,828
1759927398313813500,1684.5538134765625,833
1759927400874886000,1687.114885986328,838
1759927403435954200,1689.6759541015624,844
1759927405997021000,1692.2370209960939,849
1759927408558088000,1694.798087890625,854
1759927411119145500,1697.3591455078124,860
1759927413680204000,1699.9202041015626,865
1759927416241259000,1702.481259033203,870
1759927418802317600,1705.042317626953,875
1759927421363370000,1707.6033698730469,880
1759927423924423200,1710.1644230957031,885
1759927426485475600,1712.7254755859376,891
1759927429046525400,1715.286525390625,895
1759927431607573800,1717.8475737304686,900
1759927434168621300,1720.4086213378907,905
1759927436729668400,1722.9696684570313,910
1759927439290713900,1725.5307138671874,916
1759927441851765500,1728.091765625,921
1759927444412824600,1730.6528244628905,926
1759927446973891000,1733.2138911132813,931
1759927449534964000,1735.7749638671876,936
1759927452096041700,1738.336041748047,942
1759927454657120300,1740.8971203613282,947
1759927457218199000,1743.4581989746093,952
1759927459779277600,1746.0192775878907,957
1759927462340352500,1748.5803525390625,962
1759927464901426400,1751.1414265136718,967
1759927467462502000,1753.702501953125,972
1759927470023581000,1756.263580810547,978
1759927472584664300,1758.8246643066407,983
1759927475145742000,1761.3857421875,988
1759927477706817800,1763.9468178710938,993
1759927480267897900,1766.5078979492187,999
1759927482828968000,1769.068968017578,1004
1759927485390040300,1771.630040283203,1009
1759927487951111000,1774.1911108398438,1015
1759927490512182800,1776.752182861328,1020
1759927493073252600,1779.3132526855468,1025
1759927495634321700,1781.8743217773438,1031
1759927498195395000,1784.4353950195311,1036
1759927500756460000,1786.9964599609375,1041
1759927503317529000,1789.5575290527345,1046
1759927505878601500,1792.1186015625,1052
1759927508439679700,1794.6796796875,1057
1759927511000769500,1797.24076953125,1062
1759927513561865500,1799.8018654785155,1067
1759927516122967300,1802.3629672851562,1072
1759927518684073000,1804.9240729980468,1077
1759927521245179100,1807.4851791992187,1083
1759927523806283000,1810.0462829589844,1088
1759927526367384300,1812.6073842773437,1093
1759927528928483800,1815.1684838867188,1098
1759927531489579800,1817.7295798339844,1104
1759927534050672000,1820.2906721191407,1109
1759927536611759900,1822.851759765625,1115
1759927539172843800,1825.41284375,1120
1759927541733924000,1827.9739240722656,1125
1759927544294999600,1830.5349995117188,1130
1759927546856075500,1833.0960754394532,1136
1759927549417148700,1835.6571486816406,1141
1759927551978221000,1838.2182209472655,1146
1759927554539282000,1840.779281982422,1148
1759927557100342800,1843.3403427734374,1151
1759927559661406500,1845.9014064941407,1156
1759927562222481700,1848.4624816894532,1161
1759927564783578600,1851.0235786132812,1166
1759927567344708900,1853.584708984375,1171
1759927569905862400,1856.1458623046874,1176
1759927572467044600,1858.7070446777343,1181
1759927575028247600,1861.2682475585937,1186
1759927577589473300,1863.8294733886719,1191
1759927580150718700,1866.39071875,1196
1759927582711995600,1868.9519956054687,1202
1759927585273287700,1871.5132875976562,1207
1759927587834604300,1874.0746042480469,1211
1759927590395948800,1876.6359487304687,1217
1759927592957302500,1879.1973024902343,1222
1759927595518661000,1881.7586611328124,1225
1759927598080017200,1884.3200170898438,1226
1759927600641358300,1886.8813583984374,1226
1759927603202693600,1889.4426936035156,1226
1759927605764038100,1892.0040380859375,1226
1759927608325385200,1894.5653852539062,1226
1759927610886757400,1897.1267573242187,1226
1759927613448151000,1899.688151123047,1226
1759927616009560000,1902.2495600585937,1226
1759927618570987300,1904.8109873046874,1226
1759927628816796400,1915.0567963867188,1226
1759927631378291200,1917.6182912597656,1235
1759927633939805700,1920.1798056640625,1240
1759927636501320000,1922.7413198242189,1245
1759927639062840000,1925.3028400878907,1245
1759927641624364800,1927.8643647460938,1251
1759927644185903400,1930.4259033203125,1256
1759927646747439400,1932.987439453125,1261
1759927649308978400,1935.548978515625,1267
1759927651870525400,1938.110525390625,1272
1759927654432080600,1940.6720805664063,1277
1759927656993628000,1943.2336279296876,1282
1759927659555150000,1945.7951501464843,1288
1759927662116657200,1948.3566572265624,1293
1759927664678145500,1950.9181455078126,1298
1759927667239612700,1953.4796127929687,1303
1759927669801062100,1956.0410622558593,1309
1759927672362490400,1958.6024904785156,1314
1759927674923895800,1961.163895751953,1319
1759927677485283300,1963.7252834472656,1325
1759927680046654200,1966.286654296875,1330
1759927682608006400,1968.8480063476563,1335
1759927685169340200,1971.4093400878905,1340
1759927687730656300,1973.97065625,1345
1759927690291955500,1976.5319555664062,1349
1759927692853240800,1979.0932407226562,1354
1759927695414514200,1981.6545141601562,1359
1759927697975774700,1984.2157746582031,1364
1759927700537027800,1986.7770278320313,1369
1759927703098265000,1989.3382651367187,1374
1759927705659489300,1991.8994892578125,1379
1759927708220708600,1994.4607084960937,1384
1759927710781920500,1997.0219204101563,1390
1759927713343122200,1999.5831220703126,1394
1759927715904312300,2002.1443122558594,1400
1759927718465491700,2004.7054916992188,1405
1759927721026666800,2007.2666667480469,1410
1759927723587834600,2009.8278347167968,1415
1759927726148989000,2012.3889890136718,1421
1759927728710141200,2014.9501411132812,1426
1759927731271286800,2017.5112868652343,1431
1759927733832428000,2020.0724279785156,1436
1759927736393563400,2022.6335634765626,1442
1759927738954692600,2025.1946926269532,1447
1759927741515818200,2027.755818359375,1452
1759927744076937700,2030.3169377441407,1457
1759927746638051000,2032.8780510253907,1462
1759927749199163000,2035.4391628417968,1468
